_id,FIRST_NAME,LAST_NAME,DEPARTMENT,COLLEGE,ROLE,MOBILE,MAIL_ID,PASSWORD
A1,dkjfsl,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000000,aaa@aaa.com,password
A2,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,dfsafd,aaa@aaa.com,password
A3,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000002,aaa@aaa.com,password
A4,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000003,ddddd,password
A5,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000004,ddddd,password
A6,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000005,aaa@aaa.com,password
A7,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000006,aaa@aaa.com,ddfdf
A8,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,,aaa@aaa.com,password
A9,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000008,aaa@aaa.com,password
A10,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000009,aaa@aaa.com,password
A11,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000010,aaa@aaa.com,password
A12,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000011,aaa@aaa.com,password
A13,A,a,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000012,aaa@aaa.com,password
A14,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000013,aaa@aaa.com,password
A15,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000014,aaa@aaa.com,password
A16,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000015,aaa@aaa.com,password
A17,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000016,aaa@aaa.com,password
A18,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000017,aaa@aaa.com,password
A19,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000018,aaa@aaa.com,password
A20,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000019,aaa@aaa.com,password
A21,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000020,a.com,password
A22,B,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000021,aaa@aaa.com,password
A23,A,S,ELECTRONICS AND COMMUNICASTION ENGINEERING,KRCE,F,1000000022,aaa@aaa.com,password
